,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.0010548642603680491,0.00037944369250908494,0.0005462564877234399,0.0012019724817946553,0.0014456725912168622,0.0010548642603680491,0.00037944369250908494,0.0005462564877234399,0.0012019724817946553,0.0014456725912168622,0.0010548642603680491,0.00037944369250908494,0.0005462564877234399,0.0012019724817946553,0.0014456725912168622
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.6,0.0004066975670866668,0.0,0.0,0.0,0.0,0.0004066975670866668,0.0,0.0,0.0,0.0,0.0004066975670866668,0.0,0.0,0.0,0.0
artificial.7,0.00028026275685988367,0.0,0.0,0.0,0.0,0.00028026275685988367,0.0,0.0,0.0,0.0,0.00028026275685988367,0.0,0.0,0.0,0.0
artificial.8,0.00021631606796290725,0.0,0.0,0.0,0.0,0.00021631606796290725,0.0,0.0,0.0,0.0,0.00021631606796290725,0.0,0.0,0.0,0.0
artificial.9,0.00336661608889699,0.0021785127464681864,0.00564153864979744,0.006287476513534784,0.0067714061588048935,0.00336661608889699,0.0021785127464681864,0.00564153864979744,0.006287476513534784,0.0067714061588048935,0.00336661608889699,0.0021785127464681864,0.00564153864979744,0.006287476513534784,0.0067714061588048935
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.0346158891916275,0.032388146966695786,0.03165905550122261,0.03501036763191223,0.029705127701163292,0.03434689715504646,0.032388146966695786,0.03165905550122261,0.03501036763191223,0.029705127701163292,0.03434689715504646,0.032388146966695786,0.03165905550122261,0.03501036763191223,0.029705127701163292
artificial.12,0.00021311493765097111,0.00024037314869929105,0.0,0.0,0.00015338453522417694,0.00021311493765097111,0.00024037314869929105,0.0,0.0,0.00015338453522417694,0.00021311493765097111,0.00024037314869929105,0.0,0.0,0.00015338453522417694
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.0,0.0002284830407006666,0.00019702619465533644,0.0,0.0,0.0,0.0002284830407006666,0.00019702619465533644,0.0,0.0,0.0,0.0002284830407006666,0.00019702619465533644,0.0,0.0
artificial.15,0.0,0.00038955549825914204,0.0,0.0,0.0,0.0,0.00038955549825914204,0.0,0.0,0.0,0.0,0.00038955549825914204,0.0,0.0,0.0
artificial.16,0.0014552769716829062,0.0022048535756766796,0.00207566749304533,0.0016777602722868323,0.0006278454675339162,0.0014552769716829062,0.0022048535756766796,0.00207566749304533,0.0016777602722868323,0.0006278454675339162,0.0014552769716829062,0.0022048535756766796,0.00207566749304533,0.0016777602722868323,0.0006278454675339162
artificial.17,0.0001448373222956434,0.00012571543629746884,0.0005158510175533593,0.00040536923916079104,0.0,0.0001448373222956434,0.00012571543629746884,0.0005158510175533593,0.00040536923916079104,0.0,0.0001448373222956434,0.00012571543629746884,0.0005158510175533593,0.00040536923916079104,0.0
artificial.18,0.004279074724763632,0.005176027305424213,0.0019495227606967092,0.000154866385855712,0.0,0.004279074724763632,0.005176027305424213,0.0019495227606967092,0.000154866385855712,0.0,0.004279074724763632,0.005176027305424213,0.0019495227606967092,0.000154866385855712,0.0
artificial.19,0.006075098644942045,0.005635187029838562,0.005351982079446316,0.00682911928743124,0.008478865027427673,0.006075098644942045,0.005635187029838562,0.005351982079446316,0.00682911928743124,0.008478865027427673,0.006075098644942045,0.005635187029838562,0.005351982079446316,0.00682911928743124,0.008478865027427673
artificial.20,0.004661240614950657,0.004671147093176842,0.004755398724228144,0.001885899342596531,0.00020321691408753395,0.004661240614950657,0.004671147093176842,0.004755398724228144,0.001885899342596531,0.00020321691408753395,0.004661240614950657,0.004671147093176842,0.004755398724228144,0.001885899342596531,0.00020321691408753395
artificial.21,0.001967458054423332,0.0002232339174952358,0.0004171001201029867,0.00046769026084803045,0.0,0.001967458054423332,0.0002232339174952358,0.0004171001201029867,0.00046769026084803045,0.0,0.001967458054423332,0.0002232339174952358,0.0004171001201029867,0.00046769026084803045,0.0
artificial.22,0.0,0.00020436887280084193,0.0005452425102703273,0.0002649224770721048,0.0,0.0,0.00020436887280084193,0.0005452425102703273,0.0002649224770721048,0.0,0.0,0.00020436887280084193,0.0005452425102703273,0.0002649224770721048,0.0
artificial.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.28,0.003323199227452278,0.003442873014137149,0.0039221919141709805,0.0013568088179454207,0.00016080458590295166,0.003323199227452278,0.003442873014137149,0.0039221919141709805,0.0013568088179454207,0.00016080458590295166,0.003323199227452278,0.003442873014137149,0.0039221919141709805,0.0013568088179454207,0.00016080458590295166
artificial.29,0.0015443532029166818,0.000668345601297915,0.0008186444756574929,0.0007984565454535186,0.0012059032451361418,0.0015443532029166818,0.000668345601297915,0.0008186444756574929,0.0007984565454535186,0.0012059032451361418,0.0015443532029166818,0.000668345601297915,0.0008186444756574929,0.0007984565454535186,0.0012059032451361418
artificial.30,0.013133568689227104,0.014115932397544384,0.012930222786962986,0.008968520909547806,0.0002431618340779096,0.013133568689227104,0.014115932397544384,0.012930222786962986,0.008968520909547806,0.0002431618340779096,0.013133568689227104,0.014115932397544384,0.012930222786962986,0.008968520909547806,0.0002431618340779096
artificial.31,0.0026022042147815228,0.0017184455646201968,0.0013109541032463312,0.00018466102483216673,0.00011881707177963108,0.0026022042147815228,0.0017184455646201968,0.0013109541032463312,0.00018466102483216673,0.00011881707177963108,0.0026022042147815228,0.0017184455646201968,0.0013109541032463312,0.00018466102483216673,0.00011881707177963108
artificial.32,0.0038677130360156298,0.0039298562332987785,0.0028806705959141254,0.0015404765726998448,0.0005163773312233388,0.0038677130360156298,0.0039298562332987785,0.0028806705959141254,0.0015404765726998448,0.0005163773312233388,0.0038677130360156298,0.0039298562332987785,0.0028806705959141254,0.0015404765726998448,0.0005163773312233388
